OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,ResultValueTypeName,ResultCommentText,USGSPCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99300830,Sample-Routine,Water,Surface Water,4/15/93,10:00:00,EDT,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,Falling stage,Storm,10,USGS parameter code 82398,Equal width increment (ewi),,,US DH-81 with Teflon cap and nozzle,,Fecal Coliform,310,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400089,Sample-Routine,Water,Surface Water,1/11/84,10:55:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084164,,Falling stage,Flood,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,3100,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600009,Sample-Routine,Water,Surface Water,1/29/86,15:30:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084148,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,32,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500051,Sample-Routine,Water,Surface Water,12/17/84,13:30:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,Falling stage,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,32,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500065,Sample-Routine,Water,Surface Water,4/12/85,9:45:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084164,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,32,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99300706,Sample-Routine,Water,Surface Water,3/30/93,14:15:00,EST,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,Falling stage,Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),,,US DH-81 with Teflon cap and nozzle,,Fecal Coliform,320,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100063,Sample-Routine,Water,Surface Water,6/7/81,10:45:00,EDT,,U.S. Geological Survey-Water Resources Discipline,USGS-02084148,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,3200,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400085,Sample-Routine,Water,Surface Water,9/14/84,11:30:00,EDT,,U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,Rising stage,Flood,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,3200,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400067,Sample-Routine,Water,Surface Water,9/13/84,14:00:00,EDT,,U.S. Geological Survey-Water Resources Discipline,USGS-02084158,,Falling stage,Flood,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,3200,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99201946,Sample-Routine,Water,Surface Water,7/27/92,11:50:00,EDT,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,Rising stage,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,330,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200073,Sample-Routine,Water,Surface Water,1/4/82,13:10:00,EST,,"USGS-Atlanta Central Laboratory, GA",USGS-02084160,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,3400,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99201932,Sample-Routine,Water,Surface Water,7/8/92,10:30:00,EDT,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02084160,PO4-D P-D RR  VALUES DUP'ED,Falling stage,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,350,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97800224,Sample-Routine,Water,Surface Water,4/26/78,16:45:00,EST,,,USGS-02084164,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,3500,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200076,Sample-Routine,Water,Surface Water,2/24/82,11:45:00,EST,,"USGS-Atlanta Central Laboratory, GA",USGS-02084160,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,380,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99201960,Sample-Routine,Water,Surface Water,8/3/92,17:45:00,EDT,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,Rising stage,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,3800,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400071,Sample-Routine,Water,Surface Water,9/14/84,13:40:00,EDT,,U.S. Geological Survey-Water Resources Discipline,USGS-02084158,,Rising stage,Flood,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,3800,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600015,Sample-Routine,Water,Surface Water,1/29/86,13:00:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,390,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99400397,Sample-Routine,Water,Surface Water,12/7/93,11:00:00,EST,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02083833,,"Stable, normal stage",Routine sample,40,USGS parameter code 82398,Multiple verticals,,,Other,Not Detected,Fecal Coliform,,,Historical,Actual,,31625,,,,,,,Historical Lower Reporting Limit,4,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500050,Sample-Routine,Water,Surface Water,11/14/84,10:00:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,Falling stage,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,40,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400054,Sample-Routine,Water,Surface Water,11/15/83,10:20:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084158,,"Stable, low stage",Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,40,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100055,Sample-Routine,Water,Surface Water,1/13/81,8:50:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084148,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,40,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300038,Sample-Routine,Water,Surface Water,9/19/83,14:45:00,EDT,,U.S. Geological Survey-Water Resources Discipline,USGS-02084148,,"Stable, low stage",Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,410,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500028,Sample-Routine,Water,Surface Water,11/14/84,11:30:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084148,,Falling stage,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,420,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
