OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,USGS-0208455141,"GODLEY DITCH, SOUTH NR CAMPBELL CREEK, NC",Stream: Ditch,,3020104,0.1066,sq mi,,,35.2862809,-76.69687279,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,13,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084556,"NORTH LAKE CANAL ABOVE PUNGO LAKE NR WENONA, NC",Stream: Canal,,3020104,0.29,sq mi,,,35.72655384,-76.5166004,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,187,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084557,"VAN SWAMP NEAR HOKE, NC",Stream,,3020104,23,sq mi,,,35.7308333,-76.7461111,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,11.8,feet,1,feet,Global Positioning System.,NAVD88,US,37,187,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084558,"ALBEMARLE CANAL NR SWINDELL, NC",Stream: Canal,,3020104,74.65,sq mi,,,35.63771389,-76.6786083,,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,37,13,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208458600,"CREDLE DITCH NR ROSE BAY, NC",Stream: Ditch,,3020105,0.1086,sq mi,,,35.44572255,-76.3732548,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,95,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085000,"ENO RIVER AT HILLSBOROUGH, NC",Stream,,3020201,66,sq mi,,,36.0711111,-79.0955556,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,487.44,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,135,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085070,"ENO RIVER NEAR DURHAM, NC",Stream,,3020201,141,sq mi,,,36.0722222,-78.9077778,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,269.92,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085079,"ENO RIVER NEAR WEAVER, NC",Stream,,3020201,148,sq mi,,,36.07208829,-78.8627848,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085220,"LITTLE RIVER NEAR ORANGE FACTORY, NC",Stream,,3020201,80.4,sq mi,,,36.1390316,-78.90639669,,1,seconds,Interpolated from MAP.,NAD83,333.98,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086500,"FLAT RIVER AT DAM NEAR BAHAMA, NC",Stream,,3020201,168,sq mi,,,36.1486111,-78.82888889,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,256.6,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086624,"KNAP OF REEDS CREEK NEAR BUTNER, NC",Stream,,3020201,43,sq mi,,,36.12792215,-78.7983389,,1,seconds,Interpolated from MAP.,NAD83,254.56,feet,0.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,77,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086849,"ELLERBE CREEK NEAR GORMAN, NC",Stream,,3020201,21.9,sq mi,,,36.05931106,-78.8325065,,1,seconds,Interpolated from MAP.,NAD83,252.31,feet,0.05,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208700780,"LITTLE LICK CR AB SR1814 NR OAK GROVE, NC",Stream,,3020201,10.1,sq mi,,,35.9865346,-78.7991726,,1,seconds,Interpolated from MAP.,NAD83,265,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208925200,"BEAR CREEK AT MAYS STORE, NC",Stream,,3020202,57.7,sq mi,,,35.2747222,-77.7944444,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,45.8,feet,0.11,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,107,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02089500,"NEUSE RIVER AT KINSTON, NC",Stream,,3020202,2692,sq mi,,,35.25777778,-77.5855556,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,10.9,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,107,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209058700,"GREAT SWAMP AT US 117 NR FREMONT, NC",Stream,,3020203,,,,,35.5879372,-77.9735975,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,195,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02091500,"CONTENTNEA CREEK AT HOOKERTON, NC",Stream,,3020203,733,sq mi,,,35.42888889,-77.5825,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,14.85,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,79,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02091970,"CREEPING SWAMP NEAR VANCEBORO, NC",Stream,,3020202,27,sq mi,,,35.3918292,-77.2291241,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,49,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02096842,"CANE CREEK UPSTREAM SR1126 NR BUCKHORN, NC",Stream,,3030002,0.64,sq mi,,,36.0259733,-79.17473658,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,135,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02096960,"HAW RIVER NEAR BYNUM, NC",Stream,,3030002,1275,sq mi,,,35.76527778,-79.1358333,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,283.31,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,37,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02097314,"NEW HOPE CREEK NEAR BLANDS, NC",Stream,,3030002,75.9,sq mi,,,35.885,-78.9652778,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,214.37,feet,0.07,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209741955,"NORTHEAST CREEK AT SR1100 NR GENLEE, NC",Stream,,3030002,21.1,sq mi,,,35.8722222,-78.9130556,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,229.01,feet,0.01,feet,Level or other surveyed method.,NGVD29,US,37,63,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02097517,"MORGAN CREEK NEAR CHAPEL HILL, NC",Stream,,3030002,41,sq mi,,,35.8933333,-79.0197222,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,238.2,feet,0.05,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,135,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209847000,OAK HOLLOW LAKE AB DAM,"Lake, Reservoir, Impoundment",,3030003,,,,,36.0137479,-79.98892759,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,81,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209904795,HIGH POINT AB DAM,"Lake, Reservoir, Impoundment",,3030003,,,,,35.99652547,-79.94587019,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,81,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02105524,"ELLIS CREEK TRIB AT SR1325 NEAR WHITE OAK, NC",Stream,,3030005,1.81,sq mi,,,34.76739165,-78.6897386,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,17,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02105769,"CAPE FEAR R AT LOCK #1 NR KELLY, NC",Stream,,3030005,5255,sq mi,,,34.40444444,-78.2936111,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,-2.9,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,17,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02106648,"BLACK RIVER AT SR1722 NEAR DUNN, NC",Stream,,3030006,37.3,sq mi,,,35.34794029,-78.6241806,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,85,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02106651,"BLACK RIVER NEAR ERWIN, NC",Stream,,3030006,44,sq mi,,,35.31182957,-78.6452934,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,85,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210782005,"NAHUNGA CREEK AT SR1301 NEAR WARSAW, NC",Stream,,3030007,8.3,sq mi,,,35.0268324,-78.011098,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,61,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210787855,"GROVE CRK AT SR1375 NR WARSAW, NC",Stream,,3030007,6,sq mi,,,34.9893328,-78.0097088,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,61,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210788875,"GROVE CRK AT SR1301 NR KENANSVILLE, NC",Stream,,3030007,20.1,sq mi,,,34.96488839,-77.9733184,,1,seconds,Interpolated from MAP.,NAD83,100,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,61,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210789100,"GROVE CREEK AT KENANSVILLE, NC",Stream,,3030007,22.6,sq mi,,,34.97044378,-77.9585957,,1,seconds,Interpolated from MAP.,NAD83,750,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,61,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210789120,"GROVE CRK NR KENANSVILLE, NC",Stream,,3030007,35.5,sq mi,,,34.97377676,-77.91359399,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,61,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02116500,"YADKIN RIVER AT YADKIN COLLEGE, NC",Stream,,3040101,2280,sq mi,,,35.85666667,-80.3869444,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,638.45,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,59,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0212404970,"CANE CR TRIB NR HUNTERSVILLE, NC",Stream,,3040105,,,,,35.40041675,-80.8159053,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0212404990,"S PRONG CLARKE CR AB HOLBROOKS LF, NC (HRSW2)",Stream,,3040105,1.52,sq mi,,,35.40708324,-80.8181276,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0212404995,"S PRONG CLARKE CR BL HOLBROOKS RD LF, NC (HRSW1)",Stream,,3040105,1.85,sq mi,,,35.40708324,-80.8181276,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0212429908,"REEDY CR TRIB NR HBRLF AT CHARLOTTE, NC (HBSW7B)",Stream,,3040105,0.09,sq mi,,,35.22375478,-80.6978466,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0212429910,"TRIB REEDY CR TRIB 2, HBRLF, CHARLOTTE, NC(HBSW7A)",Stream,,3040105,0.12,sq mi,,,35.2254214,-80.6984022,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0212429912,"REEDY CK TRIB NR HICKORY GROVE, NC",Stream,,3040105,0.18,sq mi,,,35.2273658,-80.6992355,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0212429920,"HARRISBURG RD SW SITE, CHARLOTTE, NC (HBSW2001)",Stream,,3040105,0.44,sq mi,,,35.2293102,-80.69367989,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0212429930,"WIBERLY BRANCH NEAR WILGROVE, NC",Stream,,3040105,0.35,sq mi,0.35,sq mi,35.22792134,-80.6925688,,1,seconds,Interpolated from MAP.,NAD83,675.01,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0212429935,HBLSWS #1506 LAKE HOFFMAN AT HARRISBURG RD LF,"Lake, Reservoir, Impoundment",,3040105,0.06,sq mi,,,35.21903268,-80.6928466,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0212429940,"HARRISBURG RD LANDFILL, CHARLOTTE, NC (HBSW2008)",Stream,,3040105,0.5,sq mi,,,35.22875466,-80.6931243,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0212429960,"REEDY CR TRIB 2 AT CHARLOTTE, NC (HRSW2006)",Stream,,3040105,1,sq mi,,,35.22986574,-80.6934021,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02126000,"ROCKY RIVER NEAR NORWOOD, NC",Stream,,3040105,1372,sq mi,,,35.14888889,-80.1758333,,1,seconds,Interpolated from MAP.,NAD83,252.27,feet,0.14,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,167,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02129000,"PEE DEE R NR ROCKINGHAM, NC",Stream,,3040201,6863,sq mi,,,34.9458333,-79.8697222,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,119.52,feet,0.01,feet,Global Positioning System.,NAVD88,US,37,153,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02141245,"LOWER CREEK NR SR1501 NEAR MORGANTON, NC",Stream,,3050101,89.5,sq mi,,,35.8254078,-81.6359306,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,23,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214126765,"RHODHISS LAKE, HUFFMAN BRIDGE, SR1501, SITE 20","Lake, Reservoir, Impoundment",,3050101,,,,,35.78763009,-81.6248182,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,23,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214146100,"RHODHISS LK AT CASTLE BRIDGE, SR1001, SITE 24","Lake, Reservoir, Impoundment",,3050101,,,,,35.7801311,-81.523982,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,23,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214148975,"RHODHISS LAKE AT RHODHISS DAM, SITE 27","Lake, Reservoir, Impoundment",,3050101,,,,,35.77429829,-81.4423125,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,23,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214157625,"LAKE HICKORY AT US 321, SITE 29","Lake, Reservoir, Impoundment",,3050101,,,,,35.75846528,-81.3775878,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,23,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214183365,"UPPER LITTLE R AT SR1740 AT PETRA MILLS, NC",Stream,,3050101,33.9,sq mi,,,35.84207604,-81.3617551,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,27,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214184000,"LAKE HICKORY AT NC 127, SITE 34","Lake, Reservoir, Impoundment",,3050101,,,,,35.80290977,-81.3045303,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,35,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214192500,"MIDDLE LITTLE R AT MORETZ DAM NR BETHLEHEM, NC",Stream,,3050101,46.1,sq mi,,,35.84596517,-81.2792522,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,3,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214196095,"LAKE HICKORY ABOVE OXFORD DAM, SITE 40A","Lake, Reservoir, Impoundment",,3050101,,,,,35.8215213,-81.1936937,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,35,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02143000,"HENRY FORK NEAR HENRY RIVER, NC",Stream,,3050102,83.2,sq mi,,,35.68444444,-81.4033333,24000,1,seconds,Interpolated from MAP.,NAD83,890.11,feet,0.01,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,35,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02143040,"JACOB FORK AT RAMSEY, NC",Stream,,3050102,25.7,sq mi,,,35.59055556,-81.5669444,,1,seconds,Reported.,NAD83,1102.62,feet,0.01,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,23,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02143260,"CLARK CREEK AT LINCOLNTON, NC",Stream,,3050102,91.2,sq mi,,,35.47513376,-81.26647,24000,1,seconds,Interpolated from MAP.,NAD83,760,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,109,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02143500,"INDIAN CREEK NEAR LABORATORY, NC",Stream,,3050102,69.2,sq mi,,,35.42055556,-81.2652778,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,741.62,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,37,109,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02144000,"LONG CREEK NEAR BESSEMER CITY, NC",Stream,,3050102,31.8,sq mi,,,35.30638889,-81.2347222,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,705.86,feet,0.01,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,71,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214620750,"IRWIN CR AT DALECREST RD NR CHARLOTTE, NC",Stream,,3050103,3.51,sq mi,,,35.28097487,-80.8192376,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214620760,"IRWIN CR AT STARITA RD AT CHARLOTTE, NC (SRSW 13)",Stream,,3050103,4.4,sq mi,,,35.2758333,-80.8261111,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,679.35,feet,0.1,feet,Interpolated from topographic map.,NGVD29,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214620805,"IRWIN CR TRIB BL STARITA RD AT CHAR, NC (CSW05)",Stream,,3050103,0.022,sq mi,,,35.27236388,-80.8247932,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214620810,"IRWIN CR TR AT STATESVLLE RD LF AT CHAR,NC (SRSW2)",Stream,,3050103,0.03,sq mi,,,35.26736389,-80.832571,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02146211,"IRWIN CR AT STATESVILLE AVE AT CHARLOTTE, NC",Stream,,3050103,5.97,sq mi,,,35.26194444,-80.8369444,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,656.04,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214623975,"IRWIN CR AT XPRESSWY AT 5TH ST AT CHAR, NC(SRSW12)",Stream,,3050103,,,,,35.229309,-80.8536826,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214628700,"IRWIN CK AT W BLVD AT CHARLOTTE, NC (SRSW14)",Stream,,3050103,24.6,sq mi,,,35.2176424,-80.87257189,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02146300,"IRWIN CREEK NEAR CHARLOTTE, NC",Stream,,3050103,30.7,sq mi,,,35.19777778,-80.9044444,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,590.87,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,37,119,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0214632322,"SUGAR CR AT YORKMONT RD NR CHARLOTTE, NC (YRSW21A)",Stream,,3050103,38,sq mi,38,sq mi,35.19042047,-80.9145174,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,119,,,,,,,,,NWIS
