OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,ResultValueTypeName,ResultCommentText,USGSPCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97600254,Sample-Routine,Water,Surface Water,8/19/76,12:00:00,EDT,,,,Other:Not valid for new data entry,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,350,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97600232,Sample-Routine,Water,Surface Water,12/11/75,14:15:00,EST,,,,Other:Not valid for new data entry,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,370,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400125,Sample-Routine,Water,Surface Water,11/5/73,14:10:00,EST,,,,Organization other than U.S. Geological Survey,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,380,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400137,Sample-Routine,Water,Surface Water,3/5/74,10:00:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,40000,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97500117,Sample-Routine,Water,Surface Water,2/19/75,9:25:00,EST,,,,Other:Not valid for new data entry,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,420,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97500127,Sample-Routine,Water,Surface Water,7/10/75,10:45:00,EDT,,,,Other:Not valid for new data entry,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,440,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400127,Sample-Routine,Water,Surface Water,11/19/73,13:05:00,EST,,,,Organization other than U.S. Geological Survey,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,510,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400138,Sample-Routine,Water,Surface Water,3/21/74,13:40:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,530,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400128,Sample-Routine,Water,Surface Water,11/27/73,14:45:00,EST,,,,Organization other than U.S. Geological Survey,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,550,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400140,Sample-Routine,Water,Surface Water,4/11/74,15:45:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,6000,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400122,Sample-Routine,Water,Surface Water,10/22/73,11:30:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,620,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400154,Sample-Routine,Water,Surface Water,8/22/74,11:45:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,6200,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400119,Sample-Routine,Water,Surface Water,10/9/73,14:15:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,690,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400145,Sample-Routine,Water,Surface Water,6/17/74,14:30:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,800,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400126,Sample-Routine,Water,Surface Water,11/15/73,10:20:00,EST,,,,Organization other than U.S. Geological Survey,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,90,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97500125,Sample-Routine,Water,Surface Water,6/10/75,10:05:00,EDT,,,,,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,900,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200143,Sample-Routine,Water,Surface Water,7/7/82,13:30:00,EDT,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,100,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000264,Sample-Routine,Water,Surface Water,4/21/80,13:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,100,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200142,Sample-Routine,Water,Surface Water,5/4/82,11:45:00,EDT,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,100,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500185,Sample-Routine,Water,Surface Water,11/7/84,9:40:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,100,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98700335,Sample-Routine,Water,Surface Water,1/29/87,11:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,110,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99401295,Sample-Routine,Water,Surface Water,2/18/94,9:30:00,EST,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Rising stage,Storm,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-76 TM,Fecal Coliform,,120,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300217,Sample-Routine,Water,Surface Water,3/14/83,12:20:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,120,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98800707,Sample-Routine,Water,Surface Water,9/8/88,11:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,120,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300215,Sample-Routine,Water,Surface Water,11/15/82,9:45:00,EST,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,1200,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98800075,Sample-Routine,Water,Surface Water,12/1/87,13:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,130,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99404092,Sample-Routine,Water,Surface Water,9/22/94,9:00:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-0208925200,,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81 with Teflon cap and nozzle,Fecal Coliform,,140,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99400006,Sample-Routine,Water,Surface Water,10/5/93,8:00:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,"Stable, low stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,Weighted-bottle sampler,Fecal Coliform,,140,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900492,Sample-Routine,Water,Surface Water,8/6/79,12:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,1400,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400351,Sample-Routine,Water,Surface Water,11/7/83,13:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,"Stable, low stage",Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,150,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900494,Sample-Routine,Water,Surface Water,9/10/79,11:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,150,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301354,Sample-Routine,Water,Surface Water,7/13/93,11:30:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,"Stable, low stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-76 TM,Fecal Coliform,,160,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100137,Sample-Routine,Water,Surface Water,1/27/81,11:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,160,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97800442,Sample-Routine,Water,Surface Water,2/28/78,9:15:00,EST,,,,,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,160,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301548,Sample-Routine,Water,Surface Water,8/12/93,13:30:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-0208925200,,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81 with Teflon cap and nozzle,Fecal Coliform,,160,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97700269,Sample-Routine,Water,Surface Water,10/6/76,13:25:00,EDT,,,,Other:Not valid for new data entry,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,160,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97800439,Sample-Routine,Water,Surface Water,12/21/77,12:00:00,EST,,,,,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,170,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000274,Sample-Routine,Water,Surface Water,9/10/80,12:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,200,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900483,Sample-Routine,Water,Surface Water,3/1/79,13:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,220,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000260,Sample-Routine,Water,Surface Water,1/22/80,12:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,220,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98700643,Sample-Routine,Water,Surface Water,5/12/87,12:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Falling stage,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,24,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100143,Sample-Routine,Water,Surface Water,5/26/81,13:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,240,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100136,Sample-Routine,Water,Surface Water,12/2/80,13:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,240,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000258,Sample-Routine,Water,Surface Water,11/6/79,11:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,240,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200138,Sample-Routine,Water,Surface Water,10/5/81,11:00:00,EDT,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,250,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100145,Sample-Routine,Water,Surface Water,6/10/81,15:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,260,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100141,Sample-Routine,Water,Surface Water,4/29/81,10:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,280,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200139,Sample-Routine,Water,Surface Water,11/16/81,13:00:00,EST,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,280,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900484,Sample-Routine,Water,Surface Water,4/4/79,14:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,310,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99400141,Sample-Routine,Water,Surface Water,11/19/93,8:00:00,EST,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-0208925200,,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81 with Teflon cap and nozzle,Fecal Coliform,,32,cfu/100ml,Historical,Estimated,,31625,MF003,USGS,"Fecal coliform, MF, immediate",,"USGS TWRI 5-A4/1989, p 37",counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97800444,Sample-Routine,Water,Surface Water,3/28/78,9:35:00,EST,,,,,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,3200,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98800437,Sample-Routine,Water,Surface Water,5/18/88,14:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,340,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400352,Sample-Routine,Water,Surface Water,1/3/84,9:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,350,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900480,Sample-Routine,Water,Surface Water,11/13/78,12:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,360,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100151,Sample-Routine,Water,Surface Water,9/15/81,14:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,370,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99401306,Sample-Routine,Water,Surface Water,2/16/94,10:00:00,EST,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-0208925200,,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81 with Teflon cap and nozzle,Fecal Coliform,,44,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99401572,Sample-Routine,Water,Surface Water,5/18/94,13:30:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-0208925200,BALANCES WITH NUTRIENTS,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81 with Teflon cap and nozzle,Fecal Coliform,,46,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300219,Sample-Routine,Water,Surface Water,7/14/83,10:05:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,"Stable, low stage",Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,460,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98800601,Sample-Routine,Water,Surface Water,8/3/88,11:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02089500,,Rising stage,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,48,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97700271,Sample-Routine,Water,Surface Water,11/10/76,9:50:00,EST,,,,Other:Not valid for new data entry,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,48,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
