OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,USGSPCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97801628,Sample-Routine,Water,Groundwater,7/25/78,10:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354342076311601,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97801634,Sample-Routine,Water,Groundwater,5/16/78,12:45:00,EDT,,,,,USGS-354347076313301,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100019,Sample-Routine,Water,Surface Water,12/8/80,14:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02080500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000572,Sample-Routine,Water,Surface Water,3/11/80,10:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03450000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97700727,Sample-Routine,Water,Surface Water,2/22/77,11:10:00,EST,,,,Other:Not valid for new data entry,USGS-02129000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98401130,Sample-Routine,Water,Groundwater,4/3/84,11:50:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351327080414601,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97700221,Sample-Routine,Water,Surface Water,2/1/77,15:10:00,EST,,,,Other:Not valid for new data entry,USGS-02084556,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.99700356,Sample-Routine,Water,Groundwater,7/15/97,15:00:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-361957081273001,,,"Stable, normal stage",Routine sample,4040,USGS parameter code 82398,Submersible pump,Submersible positive-pressure pump,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400935,Not determined,Water,Groundwater,3/7/84,15:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351614080501401,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300480,Sample-Routine,Water,Surface Water,9/7/83,10:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02129000,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100445,Sample-Routine,Water,Surface Water,5/8/81,11:30:00,EDT,,,,,USGS-03460000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100021,Sample-Routine,Water,Surface Water,2/24/81,12:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02080500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400863,Not determined,Water,Groundwater,7/12/84,13:40:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-352402080485201,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000643,Sample-Routine,Water,Surface Water,3/7/80,13:15:00,EST,,,,,USGS-03460000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.99700354,Sample-Routine,Water,Groundwater,7/15/97,10:00:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-362445081154701,,,"Stable, normal stage",Routine sample,4040,USGS parameter code 82398,Submersible pump,Submersible positive-pressure pump,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97701105,Sample-Routine,Water,Groundwater,11/11/76,11:00:00,EST,,,,,USGS-354347076313302,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97901604,Sample-Routine,Water,Groundwater,10/4/78,10:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354342076311601,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500526,Sample-Routine,Water,Surface Water,4/2/85,11:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02129000,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100026,Sample-Routine,Water,Surface Water,5/26/81,10:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02080500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400847,Sample-Routine,Water,Groundwater,7/11/84,13:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-352403080490001,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300614,Not determined,Water,Groundwater,11/23/82,14:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351307080414601,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97801623,Sample-Routine,Water,Groundwater,1/3/78,13:35:00,EST,,,,,USGS-354342076311601,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300505,Sample-Routine,Water,Surface Water,11/2/82,12:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03460000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000024,Sample-Routine,Water,Surface Water,5/6/80,10:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02080500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98800574,Sample-Routine,Water,Groundwater,7/18/88,11:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351257080414101,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98800660,Sample-Routine,Water,Groundwater,8/16/88,12:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-352402080485201,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200298,Sample-Routine,Water,Surface Water,11/23/81,12:15:00,EST,,,,"USGS-Atlanta Central Laboratory, GA",USGS-03460000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97701008,Sample-Routine,Water,Surface Water,10/19/76,10:30:00,EDT,,,,Other:Not valid for new data entry,USGS-03460000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100023,Sample-Routine,Water,Surface Water,3/25/81,10:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02080500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000030,Sample-Routine,Water,Surface Water,8/5/80,13:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02080500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98800090,Sample-Routine,Water,Surface Water,12/7/87,12:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03460000,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100024,Sample-Routine,Water,Surface Water,4/27/81,10:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02080500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000642,Sample-Routine,Water,Surface Water,2/20/80,12:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03460000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97801484,Sample-Routine,Water,Surface Water,4/3/78,11:30:00,EST,,,,Organization other than U.S. Geological Survey,USGS-03460000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99500392,Sample-Routine,Water,Surface Water,3/14/95,12:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03460000,,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.99700335,Sample-Routine,Water,Groundwater,7/9/97,11:00:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-363053081084101,BTLS OK; CL/SO4/ALK DUP'ED,,"Stable, normal stage",Routine sample,4040,USGS parameter code 82398,Submersible pump,Submersible positive-pressure pump,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99500596,Sample-Routine,Water,Surface Water,5/23/95,9:30:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02080500,,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-76 TM,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000517,Sample-Routine,Water,Surface Water,8/19/80,13:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02129000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000639,Sample-Routine,Water,Surface Water,12/4/79,11:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03460000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301663,Sample-Routine,Water,Surface Water,7/27/93,17:05:00,EDT,0.5,meters,,U.S. Geological Survey-Water Resources Discipline,USGS-0214184000,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301662,Sample-Routine,Water,Surface Water,7/27/93,16:30:00,EDT,0.5,meters,,U.S. Geological Survey-Water Resources Discipline,USGS-0214196095,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301653,Sample-Routine,Water,Surface Water,6/22/93,17:00:00,EDT,0.5,meters,,U.S. Geological Survey-Water Resources Discipline,USGS-0214196095,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301652,Sample-Routine,Water,Surface Water,6/22/93,17:20:00,EDT,0.5,meters,,U.S. Geological Survey-Water Resources Discipline,USGS-0214184000,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97701109,Sample-Routine,Water,Groundwater,3/22/77,16:30:00,EST,,,,,USGS-354347076313302,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98800661,Sample-Routine,Water,Groundwater,8/16/88,11:40:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-352403080490001,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500114,Sample-Routine,Water,Surface Water,2/20/85,10:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02086624,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300654,Not determined,Water,Groundwater,9/15/83,12:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-352403080490001,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97701111,Sample-Routine,Water,Groundwater,6/14/77,15:00:00,EDT,,,,,USGS-354347076313302,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400975,Not determined,Water,Groundwater,12/5/83,13:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-352403080490001,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97701112,Sample-Routine,Water,Groundwater,7/27/77,11:15:00,EDT,,,,,USGS-354347076313302,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200104,Sample-Routine,Water,Surface Water,3/9/82,12:00:00,EST,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02084317,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99306236,Sample-Routine,Water,Surface Water,8/11/93,14:00:00,EDT,0.5,meters,,U.S. Geological Survey-Water Resources Discipline,USGS-0214148975,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97800256,Sample-Routine,Water,Surface Water,2/13/78,12:30:00,EST,,,,,USGS-02084556,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.99700333,Sample-Routine,Water,Groundwater,7/8/97,14:00:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-362739081305001,,,"Stable, normal stage",Routine sample,4040,USGS parameter code 82398,Submersible pump,Submersible positive-pressure pump,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97800261,Sample-Routine,Water,Surface Water,5/16/78,9:35:00,EDT,,,,,USGS-02084556,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99002442,Sample-Routine,Water,Surface Water,5/16/90,14:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02080500,,,Falling stage,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99002413,Sample-Routine,Water,Surface Water,5/21/90,12:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03460000,RR PH;LAB VALUE DUP'D,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
