OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,USGS-02089116,"NEUSE RIVER NEAR WHITEHALL, NC",Stream,3020202,2460,sq mi,35.26127434,-77.910817,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,191,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208925200,"BEAR CREEK AT MAYS STORE, NC",Stream,3020202,57.7,sq mi,35.2747222,-77.7944444,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,45.8,feet,0.11,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,107,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02089500,"NEUSE RIVER AT KINSTON, NC",Stream,3020202,2692,sq mi,35.25777778,-77.5855556,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,10.9,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,107,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209058700,"GREAT SWAMP AT US 117 NR FREMONT, NC",Stream,3020203,,,35.5879372,-77.9735975,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,195,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02090625,"TURNER SWAMP NEAR EUREKA, NC",Stream,3020203,2.1,sq mi,35.5707152,-77.8794272,,1,seconds,Interpolated from MAP.,NAD83,90,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,191,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02091500,"CONTENTNEA CREEK AT HOOKERTON, NC",Stream,3020203,733,sq mi,35.42888889,-77.5825,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,14.85,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,79,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02091960,"CREEPING SWAMP NEAR CALICO, NC",Stream,3020202,9.8,sq mi,35.42849608,-77.186345,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,13,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02091970,"CREEPING SWAMP NEAR VANCEBORO, NC",Stream,3020202,27,sq mi,35.3918292,-77.2291241,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,49,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02092162,"NEUSE RIVER AT NEW BERN, NC",Stream,3020204,4470,sq mi,35.10944444,-77.03277778,,1,seconds,Interpolated from MAP.,NAD83,0,feet,1,feet,Level or other surveyed method.,NGVD29,US,37,49,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02092760,"WHITE OAK RIVER AT SWANSBORO, NC",Stream,3020301,269,sq mi,34.68752778,-77.11688889,,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,37,133,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209303200,"NEW RIVER AT JACKSONVILLE, NC",Stream,3020302,154,sq mi,34.7532191,-77.4341306,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,133,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02093197,"NEW RIVER NEAR SNEADS FERRY, NC",Stream,3020302,430,sq mi,34.5784985,-77.3988507,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,133,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02096842,"CANE CREEK UPSTREAM SR1126 NR BUCKHORN, NC",Stream,3030002,0.64,sq mi,36.0259733,-79.17473658,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,135,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02096846,"CANE CREEK NEAR ORANGE GROVE, NC",Stream,3030002,7.54,sq mi,35.9872222,-79.2061111,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,507.69,feet,0.16,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,135,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209691590,"COLLINS CR AB SR 1006 NR WHITE CROSS, NC",Stream,3030002,1.65,sq mi,35.9462972,-79.19496389,,0.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,515.44,feet,0.5,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,135,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209691604,COLLINS CRK MIDSTREAM BLW SR1006 NR WHITE CROSS NC,Stream,3030002,,,35.9389722,-79.20413889,,0.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,135,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209691606,"UNNAMED TRIB 1 TO COLLINS CRK NR WHITE CROSS, NC",Stream,3030002,0.55,sq mi,35.93916667,-79.2042778,24000,1,seconds,Interpolated from Digital MAP.,NAD83,504,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,37,135,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209691608,"UNNAMED TRIB 2 TO COLLINS CREEK NR WHITE CROSS, NC",Stream,3030002,,,35.93919444,-79.2046111,,0.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,37,135,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209691611,"COLLINS CREEK AT HWY 54 NEAR WHITE CROSS, NC",Stream,3030002,3.22,sq mi,35.93163889,-79.2058333,,0.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,490.64,feet,0.08,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,135,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02096960,"HAW RIVER NEAR BYNUM, NC",Stream,3030002,1275,sq mi,35.76527778,-79.1358333,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,283.31,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,37,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02097314,"NEW HOPE CREEK NEAR BLANDS, NC",Stream,3030002,75.9,sq mi,35.885,-78.9652778,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,214.37,feet,0.07,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,63,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209741955,"NORTHEAST CREEK AT SR1100 NR GENLEE, NC",Stream,3030002,21.1,sq mi,35.8722222,-78.9130556,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,229.01,feet,0.01,feet,Level or other surveyed method.,NGVD29,US,37,63,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02097517,"MORGAN CREEK NEAR CHAPEL HILL, NC",Stream,3030002,41,sq mi,35.8933333,-79.0197222,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,238.2,feet,0.05,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,135,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02098198,"HAW R BELOW B. EVERETT JORDAN DAM NR MONCURE, NC",Stream,3030002,1689,sq mi,35.64944444,-79.0655556,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,155,feet,1,feet,Reported method of determination.,NGVD29,US,37,37,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02098200,"HAW RIVER NEAR HAYWOOD, NC",Stream,3030002,1689,sq mi,35.6504285,-79.0661259,,1,seconds,Interpolated from MAP.,NAD83,155,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,37,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02098206,"HAW RIVER NEAR MONCURE, NC",Stream,3030002,1691,sq mi,35.6322222,-79.06,24000,1,seconds,Interpolated from Digital MAP.,NAD83,155.4,feet,0.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,37,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209847000,OAK HOLLOW LAKE AB DAM,"Lake, Reservoir, Impoundment",3030003,,,36.0137479,-79.98892759,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,81,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0209904795,HIGH POINT AB DAM,"Lake, Reservoir, Impoundment",3030003,,,35.99652547,-79.94587019,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,81,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02102000,"DEEP RIVER AT MONCURE, NC",Stream,3030003,1434,sq mi,35.62694444,-79.1161111,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,185.06,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,105,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02102049,"DEEP RIVER AT US HWY 1 AT MONCURE, NC",Stream,3030003,1436,sq mi,35.61931765,-79.094183,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,37,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02102500,"CAPE FEAR RIVER AT LILLINGTON, NC",Stream,3030004,3464,sq mi,35.4061111,-78.8133333,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,104.62,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,85,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210382000,"LITTLE CROSS CR AB BONNIE DOONE LAKE NR SHAWS, NC",Stream,3030004,0.938,sq mi,35.1193293,-78.9455828,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,51,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210382026,"LTL CROSS CR BL BONNIE DOONE LAKE DAM NR SHAWS, NC",Stream,3030004,2.563,sq mi,35.10905169,-78.9433606,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,51,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210382035,"LTL CROSS CR BL KORNBOW LAKE DAM NR SHAWS, NC",Stream,3030004,4.248,sq mi,35.10127415,-78.9280823,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,51,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210382050,"LTL CROSS CR BL MINTZ POND NR BONNIE DOONE, NC",Stream,3030004,5.608,sq mi,35.08877434,-78.9239156,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,51,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210382068,"LTL CROSS CR TRIB BL DAM NR BONNIE DOONE, NC",Stream,3030004,0.883,sq mi,35.08544106,-78.9230822,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,51,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210382097,GLENVILLE LK INFL PIPE FM BIG CROSS CR AT FAYETTV,"Lake, Reservoir, Impoundment",3030004,,,35.06988594,-78.8969703,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,51,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210382103,"LTL CROSS CR BL GLENVLE LK DAM AT FAYETTEVILLE, NC",Stream,3030004,9.152,sq mi,35.06877485,-78.8961369,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,51,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02105524,"ELLIS CREEK TRIB AT SR1325 NEAR WHITE OAK, NC",Stream,3030005,1.81,sq mi,34.76739165,-78.6897386,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,17,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02105544,"CAPE FEAR RIVER AT LOCK 2 NEAR ELIZABETHTOWN, NC",Stream,3030005,5017,sq mi,34.63249167,-78.6028444,,1,seconds,Interpolated from Digital MAP.,NAD83,9.55,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,17,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02105769,"CAPE FEAR R AT LOCK #1 NR KELLY, NC",Stream,3030005,5255,sq mi,34.40444444,-78.2936111,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,-2.9,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,17,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02106648,"BLACK RIVER AT SR1722 NEAR DUNN, NC",Stream,3030006,37.3,sq mi,35.34794029,-78.6241806,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,85,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02106651,"BLACK RIVER NEAR ERWIN, NC",Stream,3030006,44,sq mi,35.31182957,-78.6452934,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,85,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02107571,"CAPE FEAR RIVER NEAR NAVASSA, NC",Stream,3030005,7050,sq mi,34.28405814,-77.9963792,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,19,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210782005,"NAHUNGA CREEK AT SR1301 NEAR WARSAW, NC",Stream,3030007,8.3,sq mi,35.0268324,-78.011098,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,61,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210787855,"GROVE CRK AT SR1375 NR WARSAW, NC",Stream,3030007,6,sq mi,34.9893328,-78.0097088,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,61,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210788875,"GROVE CRK AT SR1301 NR KENANSVILLE, NC",Stream,3030007,20.1,sq mi,34.96488839,-77.9733184,,1,seconds,Interpolated from MAP.,NAD83,100,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,61,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210789100,"GROVE CREEK AT KENANSVILLE, NC",Stream,3030007,22.6,sq mi,34.97044378,-77.9585957,,1,seconds,Interpolated from MAP.,NAD83,750,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,61,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210789120,"GROVE CRK NR KENANSVILLE, NC",Stream,3030007,35.5,sq mi,34.97377676,-77.91359399,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,61,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02108692,"NORTHEAST CAPE FEAR RIVER AT WILMINGTON, NC",Stream,3030007,1740,sq mi,34.25294744,-77.94971049,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,129,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02108862,"CAPE FEAR RIVER NEAR KURE BEACH, NC",Stream,3030005,9090,sq mi,33.95906258,-77.96165449,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,19,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02112000,"YADKIN RIVER AT WILKESBORO, NC",Stream,3040101,504,sq mi,36.1525,-81.1455556,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,942.35,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,193,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02116500,"YADKIN RIVER AT YADKIN COLLEGE, NC",Stream,3040101,2280,sq mi,35.85666667,-80.3869444,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,638.45,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,59,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02117030,"HUMPY CREEK NEAR FORK, NC",Stream,3040101,1.05,sq mi,35.85486014,-80.43977859,,1,seconds,Interpolated from MAP.,NAD83,695,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,59,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02120668,"SOUTH YADKIN RIVER NEAR FRANKLIN, NC",Stream,3040102,760,sq mi,35.78041675,-80.5064478,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,59,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02122500,"YADKIN RIVER AT HIGH ROCK, NC",Stream,3040103,4000,sq mi,35.59625015,-80.2328308,,1,seconds,Interpolated from MAP.,NAD83,558.68,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,57,NWIS
