OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,ResultValueTypeName,ResultCommentText,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,ProviderName
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2006-000089649,Sample-Routine,Water,,2/13/06,10:30:00,EST,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8740000,,34.7933,-78.3113,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,Fecal Coliform,47,cfu/100ml,Final,Actual,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2011-001927940,Sample-Routine,Water,,9/19/11,10:50:00,EDT,0.1,m,NCAMBNT,NCAMBNT,21NC03WQ-B8725000,,34.852,-78.2448,Grab,21NC03WQ,Grab,,Water Sampler (Other),,Fecal Coliform,240,cfu/100ml,Final,Actual,"B4,Q1; Filters have counts of both >60 or 80 and <20.  Reported value is a total of the counts from all countable filters reported per 100 ml.  Holding time exceeded;  Holding time exceeded prior to receipt by lab.",,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2013-000019437,Sample-Routine,Water,,1/23/13,10:10:00,EST,0.1,m,NCAMBNT,NCAMBNT,21NC03WQ-B8490000,,35.05553,-78.53095,Grab,21NC03WQ,Grab,,Water Sampler (Other),,Fecal Coliform,42,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS20160218-B8545000-370484618,Sample-Routine,Water,Surface Water,2/18/16,13:20:00,EST,0.1,m,NCAMBNT,,21NC03WQ-B8545000,,34.92735,-78.46568,Grab,21NC03WQ,Grab,Surface Water Grab,Water Sampler (Other),,Fecal Coliform,88,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS20180220-B8490000-371129991,Sample-Routine,Water,Surface Water,2/20/18,10:00:00,EST,0.1,m,NCAMBNT,,21NC03WQ-B8490000,,35.05553,-78.53095,Grab,21NC03WQ,Grab,Surface Water Grab,Water Sampler (Other),,Fecal Coliform,42,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2010-001745881,Sample-Routine,Water,,10/25/10,11:00:00,EDT,0.1,m,NCAMBNT,,21NC03WQ-B8725000,,34.852,-78.2448,Grab,21NC03WQ,Grab,,Water Sampler (Other),,Fecal Coliform,90,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP1998-000416365,Sample-Routine,Water,,8/31/98,,,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8604000,Actual value is known to be greater than value given.,34.9186,-78.3887,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,Fecal Coliform,600,cfu/100ml,Final,Actual,,,,,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCCOALITIONS,NC DWQ Monitoring Coalition Program,21NCCOALITIONS-LCFRP2009-000103373,Sample-Routine,Water,,8/3/09,11:50:00,EDT,0.1,m,LCFRP,,21NCCOALITIONS-B8604000,,34.9186,-78.3887,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,Fecal Coliform,100,cfu/100ml,Final,Actual,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2009-000214949,Sample-Routine,Water,,6/1/09,10:25:00,EDT,0.1,m,LCFRP,,21NCMONITORING-B8740000,Countable membranes with less than 20 colonies.  Reported value is estimated or is total of the counts on all filters reported per 100 ml.,34.7933,-78.3113,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,Fecal Coliform,41,cfu/100ml,Final,Actual,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2001-000326101,Sample-Routine,Water,,2/8/01,11:50:00,EST,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8604000,,34.9186,-78.3887,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,Fecal Coliform,9,cfu/100ml,Final,Actual,,,,,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2000-000333519,Sample-Routine,Water,,12/4/00,11:05:00,EST,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8610001,,34.8347,-78.3709,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,Fecal Coliform,86,cfu/100ml,Final,Actual,,,,,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2000-000365225,Sample-Routine,Water,,4/4/00,10:40:00,EDT,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8610001,,34.8347,-78.3709,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,Fecal Coliform,5,cfu/100ml,Final,Actual,,,,,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2007-000025940,Sample-Routine,Water,,7/9/07,10:38:00,EDT,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8604000,,34.9186,-78.3887,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,Fecal Coliform,45,cfu/100ml,Final,Actual,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2005-000115334,Sample-Routine,Water,,7/11/05,12:15:00,EDT,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8740000,,34.7933,-78.3113,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,Fecal Coliform,88,cfu/100ml,Final,Actual,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2005-000104191,Sample-Routine,Water,,9/22/05,11:07:00,EDT,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8610001,,34.8347,-78.3709,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,Fecal Coliform,100,cfu/100ml,Final,Actual,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2010-000002887,Sample-Routine,Water,,5/4/10,10:15:00,EDT,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8610001,,34.8347,-78.3709,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,Fecal Coliform,55,cfu/100ml,Final,Actual,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2010-000003479,Sample-Routine,Water,,6/1/10,11:05:00,EDT,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8604000,,34.9186,-78.3887,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,Fecal Coliform,4600,cfu/100ml,Final,Actual,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2010-000001655,Sample-Routine,Water,,2/4/10,11:30:00,EST,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8740000,,34.7933,-78.3113,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,Fecal Coliform,181,cfu/100ml,Final,Actual,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2011-001927892,Sample-Routine,Water,,12/12/11,10:01:00,EST,0.1,m,NCAMBNT,NCAMBNT,21NC03WQ-B8490000,,35.05553,-78.53095,Grab,21NC03WQ,Grab,,Water Sampler (Other),,Fecal Coliform,47,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2011-001903071,Sample-Routine,Water,,7/14/11,12:20:00,EDT,0.1,m,NCAMBNT,NCAMBNT,21NC03WQ-B8750000,,34.7544,-78.2891,Grab,21NC03WQ,Grab,,Water Sampler (Other),,Fecal Coliform,18,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2013-100000401,Sample-Routine,Water,,10/22/13,11:20:00,EST,0.1,m,LCFRP,,21NCMONITORING-B8604000,,34.9186,-78.3887,GRAB,21NCMONITORING,Grab,Surface Water Grab,Water Sampler (Other),,Fecal Coliform,100,cfu/100ml,Final,Actual,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2013-040000383,Sample-Routine,Water,,4/2/13,11:30:00,EDT,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8610001,,34.8347,-78.3709,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,Fecal Coliform,46,cfu/100ml,Final,Actual,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS20151026-B8490000-370484419,Sample-Routine,Water,Surface Water,10/26/15,10:00:00,EST,0.1,m,NCAMBNT,,21NC03WQ-B8490000,,35.05553,-78.53095,Grab,21NC03WQ,Grab,Surface Water Grab,Water Sampler (Other),,Fecal Coliform,150,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS20151123-B8490000-370484430,Sample-Routine,Water,Surface Water,11/23/15,10:20:00,EST,0.1,m,NCAMBNT,,21NC03WQ-B8490000,,35.05553,-78.53095,Grab,21NC03WQ,Grab,Surface Water Grab,Water Sampler (Other),,Fecal Coliform,500,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS20170320-B8580000-371130374,Sample-Routine,Water,Surface Water,3/20/17,10:45:00,EST,0.1,m,NCAMBNT,,21NC03WQ-B8580000,,35.02483,-78.3717,Grab,21NC03WQ,Grab,Surface Water Grab,Water Sampler (Other),,Fecal Coliform,39,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS20180717-B8580000-371130593,Sample-Routine,Water,Surface Water,7/17/18,10:45:00,EST,0.1,m,NCAMBNT,,21NC03WQ-B8580000,,35.02483,-78.3717,Grab,21NC03WQ,Grab,Surface Water Grab,Water Sampler (Other),,Fecal Coliform,200,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS20180925-B8490000-371130075,Sample-Routine,Water,Surface Water,9/25/18,10:20:00,EST,0.2,m,NCAMBNT,,21NC03WQ-B8490000,,35.05553,-78.53095,Grab,21NC03WQ,Grab,Surface Water Grab,Water Sampler (Other),,Fecal Coliform,140,cfu/100ml,Final,Actual,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2010-001711934,Sample-Routine,Water,,5/20/10,10:04:00,EDT,0.1,m,NCAMBNT,,21NC03WQ-B8490000,,35.05553,-78.53095,Grab,21NC03WQ,Grab,,Water Sampler (Other),,Fecal Coliform,90,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2011-001883580,Sample-Routine,Water,,1/25/11,10:55:00,EST,0.1,m,NCAMBNT,,21NC03WQ-B8725000,,34.852,-78.2448,Grab,21NC03WQ,Grab,,Water Sampler (Other),,Fecal Coliform,150,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2012-001972996,Sample-Routine,Water,,8/21/12,9:50:00,EDT,0.1,m,NCAMBNT,NCAMBNT,21NC03WQ-B8490000,,35.05553,-78.53095,Grab,21NC03WQ,Grab,,Water Sampler (Other),,Fecal Coliform,140,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCCOALITIONS,NC DWQ Monitoring Coalition Program,21NCCOALITIONS-LCFRP2009-000267498,Sample-Routine,Water,,5/4/09,10:30:00,EDT,0.1,m,LCFRP,,21NCCOALITIONS-B8740000,Countable membranes with less than 20 colonies.  Reported value is estimated or is total of the counts on all filters reported per 100 ml.,34.7933,-78.3113,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,Fecal Coliform,46,cfu/100ml,Final,Actual,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2009-000215198,Sample-Routine,Water,,6/1/09,10:40:00,EDT,0.1,m,LCFRP,,21NCMONITORING-B8610001,Countable membranes with less than 20 colonies.  Reported value is estimated or is total of the counts on all filters reported per 100 ml.,34.8347,-78.3709,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,Fecal Coliform,14,cfu/100ml,Final,Actual,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2009-000499344,Sample-Routine,Water,,10/5/09,12:00:00,EDT,0.1,m,LCFRP,,21NCMONITORING-B8604000,Countable membranes with less than 20 colonies.  Reported value is estimated or is total of the counts on all filters reported per 100 ml.,34.9186,-78.3887,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,Fecal Coliform,127,cfu/100ml,Final,Actual,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2004-000146427,Sample-Routine,Water,,11/1/04,11:18:00,EST,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8604000,,34.9186,-78.3887,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,Fecal Coliform,29,cfu/100ml,Final,Actual,,,,,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2001-000314245,Sample-Routine,Water,,5/10/01,10:25:00,EDT,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8610001,,34.8347,-78.3709,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,Fecal Coliform,15,cfu/100ml,Final,Actual,,,,,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP1999-000379767,Sample-Routine,Water,,10/7/99,12:00:00,EDT,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8740000,,34.7933,-78.3113,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,Fecal Coliform,14,cfu/100ml,Final,Actual,,,,,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2007-000048484,Sample-Routine,Water,,1/8/07,10:15:00,EST,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8740000,,34.7933,-78.3113,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,Fecal Coliform,460,cfu/100ml,Final,Actual,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2000-000372766,Sample-Routine,Water,,1/3/00,10:20:00,EST,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8610001,,34.8347,-78.3709,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,Fecal Coliform,11,cfu/100ml,Final,Actual,,,,,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
