OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,USGSPCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400181,Sample-Routine,Water,Surface Water,6/17/74,15:45:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,2600,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400168,Sample-Routine,Water,Surface Water,12/13/73,11:15:00,EST,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,270,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400176,Sample-Routine,Water,Surface Water,3/28/74,10:30:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,2900,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400191,Sample-Routine,Water,Surface Water,8/22/74,14:45:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,90,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97300248,Sample-Routine,Water,Surface Water,9/25/73,13:00:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Not Detected,,Fecal Coliform,,,,,Historical,,Actual,31616,,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97600270,Sample-Routine,Water,Surface Water,7/28/76,15:30:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,10,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97300247,Sample-Routine,Water,Surface Water,9/18/73,7:15:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,100,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97600263,Sample-Routine,Water,Surface Water,1/6/76,14:45:00,EST,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,110,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400178,Sample-Routine,Water,Surface Water,4/30/74,11:30:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,130,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97600265,Sample-Routine,Water,Surface Water,3/16/76,12:45:00,EST,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,180,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400175,Sample-Routine,Water,Surface Water,3/21/74,12:40:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,20,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97200404,Sample-Routine,Water,Surface Water,12/7/71,15:00:00,EST,,,,,USGS-02089116,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,250,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400167,Sample-Routine,Water,Surface Water,11/27/73,13:00:00,EST,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,270,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400193,Sample-Routine,Water,Surface Water,9/16/74,16:05:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,30,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400169,Sample-Routine,Water,Surface Water,1/3/74,12:05:00,EST,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,30,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400158,Sample-Routine,Water,Surface Water,10/4/73,16:15:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,40,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400192,Sample-Routine,Water,Surface Water,9/3/74,15:00:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,50,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400159,Sample-Routine,Water,Surface Water,10/9/73,16:15:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,50,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400163,Sample-Routine,Water,Surface Water,10/31/73,12:15:00,EST,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,60,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400179,Sample-Routine,Water,Surface Water,5/29/74,16:25:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,60,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400161,Sample-Routine,Water,Surface Water,10/22/73,12:45:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,60,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400166,Sample-Routine,Water,Surface Water,11/19/73,12:10:00,EST,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,610,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400172,Sample-Routine,Water,Surface Water,1/24/74,10:15:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,70,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97300246,Sample-Routine,Water,Surface Water,9/10/73,13:10:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,90,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97700295,Sample-Routine,Water,Surface Water,10/20/76,16:00:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,9800,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA1995-000462541,Sample-Routine,Water,,7/17/95,10:20:00,EDT,0,m,LNBA,LNBA,21NCMONITORING-J6024000,,,,35.229,-77.846,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,23,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA1995-000466661,Sample-Routine,Water,,1/12/95,10:25:00,EST,0,m,LNBA,LNBA,21NCMONITORING-J6010950,,,,35.2817,-77.8686,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,63,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCCOALITIONS,NC DWQ Monitoring Coalition Program,21NCCOALITIONS-LNBA2009-000328764,Sample-Routine,Water,,3/9/09,10:27:00,EDT,0.1,m,LNBA,,21NCCOALITIONS-J6010950,Filters have counts of both >60 or 80 and <20.  Reported value is a total of the counts from all countable filters reported per 100 ml.,,,35.2817,-77.8686,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,115,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2009-000329535,Sample-Routine,Water,,3/9/09,9:42:00,EDT,0.1,m,LNBA,,21NCMONITORING-J5900000,,,,35.4662,-78.0942,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,102,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2009-000249890,Sample-Routine,Water,,5/11/09,9:33:00,EDT,0.1,m,LNBA,,21NCMONITORING-J5900000,,,,35.4662,-78.0942,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,330,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2009-000358993,Sample-Routine,Water,,2/9/09,10:26:00,EST,0.1,m,LNBA,,21NCMONITORING-J6010950,Countable membranes with less than 20 colonies.  Reported value is estimated or is total of the counts on all filters reported per 100 ml.,,,35.2817,-77.8686,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,7,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA1997-000432431,Sample-Routine,Water,,12/8/97,11:00:00,EST,,,LNBA,LNBA,21NCMONITORING-J6010950,Indicates that the analyte was analyzed for but not detected above the reported practical quantitation limit*.,,,35.2817,-77.8686,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),Not Detected,,Fecal Coliform,,,,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,Practical Quantitation Limit,10,cfu/100ml,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA1998-000429678,Sample-Routine,Water,,3/6/98,10:40:00,EST,,,LNBA,LNBA,21NCMONITORING-J5900000,,,,35.4662,-78.0942,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,82,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA1996-000456780,Sample-Routine,Water,,3/8/96,11:35:00,EST,0,m,LNBA,LNBA,21NCMONITORING-J6010950,,,,35.2817,-77.8686,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,232,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2000-000346948,Sample-Routine,Water,,8/14/00,,,,,LNBA,LNBA,21NCMONITORING-J6024000,,,,35.229,-77.846,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,140,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2007-000028344,Sample-Routine,Water,,6/18/07,9:08:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J5900000,,,,35.4662,-78.0942,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,90,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2011-001930346,Sample-Routine,Water,,10/31/11,12:15:00,EDT,0.1,m,NCAMBNT,NCAMBNT,21NC03WQ-J5970000,,,,35.33712,-77.99734,Grab,21NC03WQ,Grab,,Water Sampler (Other),,,Fecal Coliform,,46,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2013-020000635,Sample-Routine,Water,,2/6/13,11:11:00,EST,0.1,m,LNBA,LNBA,21NCMONITORING-J6024000,,,,35.229,-77.846,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,46,cfu/100ml,,Final,,Actual,,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2014706094,Sample-Routine,Water,,1/2/14,11:09:00,EST,0.1,m,LNBA,,21NCMONITORING-J6024000,,,,35.229,-77.846,Grab,21NCMONITORING,Grab,Surface Water Grab,Water Sampler (Other),,,Fecal Coliform,,600,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,Estimated Detection Level,1,cfu/100ml,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2008-001513724,Sample-Routine,Water,,4/3/08,11:30:00,EDT,0.1,m,NCAMBNT,,21NC03WQ-J5970000,,,,35.33712,-77.99734,Grab,21NC03WQ,Grab,,Water Sampler (Other),,,Fecal Coliform,,58,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2013-070001265,Sample-Routine,Water,,7/1/13,10:49:00,EST,0.1,m,LNBA,,21NCMONITORING-J6024000,,,,35.229,-77.846,GRAB,21NCMONITORING,Grab,Surface Water Grab,Water Sampler (Other),,,Fecal Coliform,,165,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2009-000034879,Sample-Routine,Water,,9/10/09,9:33:00,EDT,0.1,m,LNBA,,21NCMONITORING-J5500000,,,,35.32239,-78.12815,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,420,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCCOALITIONS,NC DWQ Monitoring Coalition Program,21NCCOALITIONS-LNBA2009-000035270,Sample-Routine,Water,,9/10/09,10:26:00,EDT,0.1,m,LNBA,,21NCCOALITIONS-J6010950,,,,35.2817,-77.8686,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,54,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2009-000107858,Sample-Routine,Water,,7/30/09,9:24:00,EDT,0.1,m,LNBA,,21NCMONITORING-J5900000,,,,35.4662,-78.0942,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,240,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2009-000266232,Sample-Routine,Water,,11/23/09,12:02:00,EST,0.1,m,LNBA,,21NCMONITORING-J6024000,Filters have counts of both >60 or 80 and <20.  Reported value is a total of the counts from all countable filters reported per 100 ml.,,,35.229,-77.846,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,72,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2002-000237527,Sample-Routine,Water,,11/21/02,15:25:00,EST,0.1,m,LNBA,LNBA,21NCMONITORING-J6024000,,,,35.229,-77.846,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,62,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2004-000143390,Sample-Routine,Water,,11/22/04,10:10:00,EST,0.1,m,LNBA,LNBA,21NCMONITORING-J5900000,,,,35.4662,-78.0942,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,52,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA1997-000434861,Sample-Routine,Water,,10/9/97,9:10:00,EDT,0,m,LNBA,LNBA,21NCMONITORING-J5900000,,,,35.4662,-78.0942,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,216,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2000-000366660,Sample-Routine,Water,,3/14/00,,,,,LNBA,LNBA,21NCMONITORING-J6024000,,,,35.229,-77.846,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,21,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2000-000366833,Sample-Routine,Water,,3/10/00,,,,,LNBA,LNBA,21NCMONITORING-J5900000,,,,35.4662,-78.0942,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,,Fecal Coliform,,80,cfu/100ml,,Final,,Actual,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2011-000005109,Sample-Routine,Water,,7/13/11,8:44:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J5900000,665: reagent contamination,,,35.4662,-78.0942,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,80,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2012-080000876,Sample-Routine,Water,,8/20/12,9:57:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J5930000,,,,35.393,-78.0258,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,320,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LNBA2012-100000356,Sample-Routine,Water,,10/3/12,10:39:00,EDT,0.1,m,LNBA,LNBA,21NCMONITORING-J5500000,,,,35.32239,-78.12815,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,,Fecal Coliform,,74,cfu/100ml,,Final,,Actual,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
