OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityStartDate,ActivityStartTime/Time,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,MonitoringLocationIdentifier,HydrologicEvent,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,ResultLaboratoryCommentText,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0006630-1970,Sample,Water,9/8/70,15:15:00,0.33,ft,NCLEGACY,21NC01WQ-B9160000,,Fecal Coliform,Total,200,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0006618-1970,Sample,Water,9/8/70,14:50:00,0.33,ft,NCLEGACY,21NC01WQ-B8680000,,Fecal Coliform,Total,2300,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0006632-1970,Sample,Water,9/8/70,15:30:00,0.33,ft,NCLEGACY,21NC01WQ-B9180000,,Fecal Coliform,Total,2600,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0006626-1970,Sample,Water,9/8/70,16:45:00,0.33,ft,NCLEGACY,21NC01WQ-B9120000,,Fecal Coliform,Total,340,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0006620-1970,Sample,Water,9/8/70,14:30:00,0.33,ft,NCLEGACY,21NC01WQ-B8700000,,Fecal Coliform,Total,6800,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0009974-1970,Sample,Water,11/16/70,15:25:00,0.33,ft,NCLEGACY,21NC01WQ-B9320000,,Fecal Coliform,Total,30,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0009972-1970,Sample,Water,11/16/70,15:45:00,0.33,ft,NCLEGACY,21NC01WQ-B9300000,,Fecal Coliform,Total,90,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0010266-1970,Sample,Water,11/19/70,14:15:00,0.33,ft,NCLEGACY,21NC01WQ-B9260000,,Fecal Coliform,Total,0,#/100ml,Final,FEC_MF,21NC01WQ,,,,100,#/100ml,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0010268-1970,Sample,Water,11/19/70,13:50:00,0.33,ft,NCLEGACY,21NC01WQ-B9280000,,Fecal Coliform,Total,0,#/100ml,Final,FEC_MF,21NC01WQ,,,,100,#/100ml,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0010244-1970,Sample,Water,11/19/70,10:00:00,0.33,ft,NCLEGACY,21NC01WQ-B8680000,,Fecal Coliform,Total,0,#/100ml,Final,FEC_MF,21NC01WQ,,,,100,#/100ml,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0010254-1970,Sample,Water,11/19/70,11:20:00,0.33,ft,NCLEGACY,21NC01WQ-B9140000,,Fecal Coliform,Total,0,#/100ml,Final,FEC_MF,21NC01WQ,,,,100,#/100ml,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0010256-1970,Sample,Water,11/19/70,10:45:00,0.33,ft,NCLEGACY,21NC01WQ-B9160000,,Fecal Coliform,Total,200,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0010252-1970,Sample,Water,11/19/70,10:25:00,0.33,ft,NCLEGACY,21NC01WQ-B9120000,,Fecal Coliform,Total,0,#/100ml,Final,FEC_MF,21NC01WQ,,,,100,#/100ml,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0010258-1970,Sample,Water,11/19/70,11:00:00,0.33,ft,NCLEGACY,21NC01WQ-B9180000,,Fecal Coliform,Total,0,#/100ml,Final,FEC_MF,21NC01WQ,,,,100,#/100ml,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0010246-1970,Sample,Water,11/19/70,15:00:00,0.33,ft,NCLEGACY,21NC01WQ-B8700000,,Fecal Coliform,Total,8600,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1971-0001874-1971,Sample,Water,4/6/71,15:30:00,0.33,ft,NCLEGACY,21NC01WQ-B9260000,,Fecal Coliform,Total,4500,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1971-0001876-1971,Sample,Water,4/6/71,15:45:00,0.33,ft,NCLEGACY,21NC01WQ-B9280000,,Fecal Coliform,Total,18000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1971-0001880-1971,Sample,Water,4/6/71,12:50:00,0.33,ft,NCLEGACY,21NC01WQ-B9320000,,Fecal Coliform,Total,720,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1971-0001862-1971,Sample,Water,4/6/71,10:00:00,0.33,ft,NCLEGACY,21NC01WQ-B9140000,,Fecal Coliform,Total,1200,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1971-0001852-1971,Sample,Water,4/6/71,11:00:00,0.33,ft,NCLEGACY,21NC01WQ-B8680000,,Fecal Coliform,Total,12000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1971-0001864-1971,Sample,Water,4/6/71,9:30:00,0.33,ft,NCLEGACY,21NC01WQ-B9160000,,Fecal Coliform,Total,600,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1971-0001866-1971,Sample,Water,4/6/71,9:45:00,0.33,ft,NCLEGACY,21NC01WQ-B9180000,,Fecal Coliform,Total,21000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1971-0001860-1971,Sample,Water,4/6/71,9:00:00,0.33,ft,NCLEGACY,21NC01WQ-B9120000,,Fecal Coliform,Total,6300,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1971-0001878-1971,Sample,Water,4/6/71,13:10:00,0.33,ft,NCLEGACY,21NC01WQ-B9300000,,Fecal Coliform,Total,10000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1971-0001854-1971,Sample,Water,4/6/71,11:15:00,0.33,ft,NCLEGACY,21NC01WQ-B8700000,,Fecal Coliform,Total,130000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1971-0009347-1971,Sample,Water,8/31/71,13:00:00,0.33,ft,NCLEGACY,21NC01WQ-B9260000,,Fecal Coliform,Total,1500,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1971-0009348-1971,Sample,Water,8/31/71,0:00:00,0.33,ft,NCLEGACY,21NC01WQ-B9260000,,Fecal Coliform,Total,1500,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1971-0009350-1971,Sample,Water,8/31/71,12:30:00,0.33,ft,NCLEGACY,21NC01WQ-B9280000,,Fecal Coliform,Total,100,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1972-0003972-1972,Sample,Water,6/26/72,15:10:00,0.33,ft,NCLEGACY,21NC01WQ-B9260000,,Fecal Coliform,Total,100,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1972-0003974-1972,Sample,Water,6/26/72,15:20:00,0.33,ft,NCLEGACY,21NC01WQ-B9280000,,Fecal Coliform,Total,300,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1972-0003978-1972,Sample,Water,6/26/72,15:40:00,0.33,ft,NCLEGACY,21NC01WQ-B9320000,,Fecal Coliform,Total,100,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1972-0003960-1972,Sample,Water,6/26/72,12:35:00,0.33,ft,NCLEGACY,21NC01WQ-B9140000,,Fecal Coliform,Total,200,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1972-0003950-1972,Sample,Water,6/26/72,13:50:00,0.33,ft,NCLEGACY,21NC01WQ-B8680000,,Fecal Coliform,Total,43000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1972-0003962-1972,Sample,Water,6/26/72,12:25:00,0.33,ft,NCLEGACY,21NC01WQ-B9160000,,Fecal Coliform,Total,80,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1972-0003976-1972,Sample,Water,6/26/72,15:30:00,0.33,ft,NCLEGACY,21NC01WQ-B9300000,,Fecal Coliform,Total,100,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1972-0003964-1972,Sample,Water,6/26/72,12:15:00,0.33,ft,NCLEGACY,21NC01WQ-B9180000,,Fecal Coliform,Total,200,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1972-0003958-1972,Sample,Water,6/26/72,13:00:00,0.33,ft,NCLEGACY,21NC01WQ-B9120000,,Fecal Coliform,Total,700,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1972-0003952-1972,Sample,Water,6/26/72,13:45:00,0.33,ft,NCLEGACY,21NC01WQ-B8700000,,Fecal Coliform,Total,200,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1972-0009118-1972,Sample,Water,9/28/72,12:30:00,0.33,ft,NCLEGACY,21NC01WQ-B9300000,,Fecal Coliform,Total,1000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1972-0009449-1972,Sample,Water,10/5/72,11:15:00,0.33,ft,NCLEGACY,21NC01WQ-B9320000,,Fecal Coliform,Total,120000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1972-0009447-1972,Sample,Water,10/5/72,11:00:00,0.33,ft,NCLEGACY,21NC01WQ-B9300000,,Fecal Coliform,Total,800,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1972-0009737-1972,Sample,Water,10/12/72,11:45:00,0.33,ft,NCLEGACY,21NC01WQ-B9320000,,Fecal Coliform,Total,86000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1972-0009736-1972,Sample,Water,10/12/72,11:15:00,0.33,ft,NCLEGACY,21NC01WQ-B9300000,,Fecal Coliform,Total,1400,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0002151-1973,Sample,Water,5/15/73,12:10:00,0.33,ft,NCLEGACY,21NC01WQ-B9280000,,Fecal Coliform,Total,0,#/100ml,Final,FEC_MF,21NC01WQ,,,,10,#/100ml,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0002137-1973,Sample,Water,5/15/73,15:00:00,0.33,ft,NCLEGACY,21NC01WQ-B9140000,,Fecal Coliform,Total,120,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0002126-1973,Sample,Water,5/15/73,13:30:00,0.33,ft,NCLEGACY,21NC01WQ-B8680000,,Fecal Coliform,Total,0,#/100ml,Final,FEC_MF,21NC01WQ,,,,10,#/100ml,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0002139-1973,Sample,Water,5/15/73,14:25:00,0.33,ft,NCLEGACY,21NC01WQ-B9160000,,Fecal Coliform,Total,120,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0002141-1973,Sample,Water,5/15/73,14:40:00,0.33,ft,NCLEGACY,21NC01WQ-B9180000,,Fecal Coliform,Total,250,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0002135-1973,Sample,Water,5/15/73,14:10:00,0.33,ft,NCLEGACY,21NC01WQ-B9120000,,Fecal Coliform,Total,1500,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0002131-1973,Sample,Water,5/15/73,13:58:00,0.33,ft,NCLEGACY,21NC01WQ-B8700000,,Fecal Coliform,Total,7000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005420-1973,Sample,Water,6/21/73,12:40:00,0.33,ft,NCLEGACY,21NC01WQ-B9260000,,Fecal Coliform,Total,0,#/100ml,Final,FEC_MF,21NC01WQ,,,,10,#/100ml,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005421-1973,Sample,Water,6/21/73,12:55:00,0.33,ft,NCLEGACY,21NC01WQ-B9280000,,Fecal Coliform,Total,3000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005410-1973,Sample,Water,6/21/73,10:40:00,0.33,ft,NCLEGACY,21NC01WQ-B8680000,,Fecal Coliform,Total,240,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005415-1973,Sample,Water,6/21/73,9:40:00,0.33,ft,NCLEGACY,21NC01WQ-B9160000,,Fecal Coliform,Total,460,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005414-1973,Sample,Water,6/21/73,10:00:00,0.33,ft,NCLEGACY,21NC01WQ-B9140000,,Fecal Coliform,Total,2000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005416-1973,Sample,Water,6/21/73,9:30:00,0.33,ft,NCLEGACY,21NC01WQ-B9180000,,Fecal Coliform,Total,0,#/100ml,Final,FEC_MF,21NC01WQ,,,,10,#/100ml,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005413-1973,Sample,Water,6/21/73,10:10:00,0.33,ft,NCLEGACY,21NC01WQ-B9120000,,Fecal Coliform,Total,60,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005411-1973,Sample,Water,6/21/73,10:50:00,0.33,ft,NCLEGACY,21NC01WQ-B8700000,,Fecal Coliform,Total,3000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005716-1973,Sample,Water,6/25/73,15:00:00,0.33,ft,NCLEGACY,21NC01WQ-B9260000,,Fecal Coliform,Total,10,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005719-1973,Sample,Water,6/25/73,14:30:00,0.33,ft,NCLEGACY,21NC01WQ-B9340000,,Fecal Coliform,Total,10,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005718-1973,Sample,Water,6/25/73,15:15:00,0.33,ft,NCLEGACY,21NC01WQ-B9280000,,Fecal Coliform,Total,1200,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005689-1973,Sample,Water,6/25/73,13:10:00,0.33,ft,NCLEGACY,21NC01WQ-B8680000,,Fecal Coliform,Total,5000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005704-1973,Sample,Water,6/25/73,12:50:00,0.33,ft,NCLEGACY,21NC01WQ-B9140000,,Fecal Coliform,Total,0,#/100ml,Final,FEC_MF,21NC01WQ,,,,10,#/100ml,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005706-1973,Sample,Water,6/25/73,12:40:00,0.33,ft,NCLEGACY,21NC01WQ-B9160000,,Fecal Coliform,Total,0,#/100ml,Final,FEC_MF,21NC01WQ,,,,10,#/100ml,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005720-1973,Sample,Water,6/25/73,14:40:00,0.33,ft,NCLEGACY,21NC01WQ-B9360000,,Fecal Coliform,Total,640,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005708-1973,Sample,Water,6/25/73,12:30:00,0.33,ft,NCLEGACY,21NC01WQ-B9180000,,Fecal Coliform,Total,90,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005702-1973,Sample,Water,6/25/73,13:00:00,0.33,ft,NCLEGACY,21NC01WQ-B9120000,,Fecal Coliform,Total,20,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0005693-1973,Sample,Water,6/25/73,13:20:00,0.33,ft,NCLEGACY,21NC01WQ-B8700000,,Fecal Coliform,Total,0,#/100ml,Final,FEC_MF,21NC01WQ,,,,10,#/100ml,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0008257-1973,Sample,Water,7/19/73,10:35:00,0.33,ft,NCLEGACY,21NC01WQ-B9260000,,Fecal Coliform,Total,200,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0008260-1973,Sample,Water,7/19/73,9:05:00,0.33,ft,NCLEGACY,21NC01WQ-B9340000,,Fecal Coliform,Total,4800,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0008259-1973,Sample,Water,7/19/73,10:25:00,0.33,ft,NCLEGACY,21NC01WQ-B9280000,,Fecal Coliform,Total,30000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0008243-1973,Sample,Water,7/19/73,11:15:00,0.33,ft,NCLEGACY,21NC01WQ-B8680000,,Fecal Coliform,Total,1700,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0008253-1973,Sample,Water,7/19/73,11:45:00,0.33,ft,NCLEGACY,21NC01WQ-B9140000,,Fecal Coliform,Total,0,#/100ml,Final,FEC_MF,21NC01WQ,,,,100,#/100ml,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0008251-1973,Sample,Water,7/19/73,12:00:00,0.33,ft,NCLEGACY,21NC01WQ-B9120000,,Fecal Coliform,Total,200,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0008255-1973,Sample,Water,7/19/73,11:30:00,0.33,ft,NCLEGACY,21NC01WQ-B9180000,,Fecal Coliform,Total,2000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0008245-1973,Sample,Water,7/19/73,11:00:00,0.33,ft,NCLEGACY,21NC01WQ-B8700000,,Fecal Coliform,Total,100000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0008415-1973,Sample,Water,7/23/73,10:30:00,0.33,ft,NCLEGACY,21NC01WQ-B9140000,,Fecal Coliform,Total,13000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0008416-1973,Sample,Water,7/23/73,10:15:00,0.33,ft,NCLEGACY,21NC01WQ-B9180000,,Fecal Coliform,Total,820000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0008773-1973,Sample,Water,7/24/73,14:30:00,0.33,ft,NCLEGACY,21NC01WQ-B9260000,,Fecal Coliform,Total,3000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0008777-1973,Sample,Water,7/24/73,13:30:00,0.33,ft,NCLEGACY,21NC01WQ-B9340000,,Fecal Coliform,Total,1500,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0008775-1973,Sample,Water,7/24/73,14:45:00,0.33,ft,NCLEGACY,21NC01WQ-B9280000,,Fecal Coliform,Total,100,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0008778-1973,Sample,Water,7/24/73,13:45:00,0.33,ft,NCLEGACY,21NC01WQ-B9360000,,Fecal Coliform,Total,1600,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0009297-1973,Sample,Water,7/27/73,10:45:00,0.33,ft,NCLEGACY,21NC01WQ-B9120000,,Fecal Coliform,Total,900,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0011604-1973,Sample,Water,8/21/73,14:15:00,0.33,ft,NCLEGACY,21NC01WQ-B9340000,,Fecal Coliform,Total,400,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0011599-1973,Sample,Water,8/21/73,11:50:00,0.33,ft,NCLEGACY,21NC01WQ-B9140000,,Fecal Coliform,Total,0,#/100ml,Final,FEC_MF,21NC01WQ,,,,10,#/100ml,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0011595-1973,Sample,Water,8/21/73,12:40:00,0.33,ft,NCLEGACY,21NC01WQ-B8680000,,Fecal Coliform,Total,1500,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0011600-1973,Sample,Water,8/21/73,11:25:00,0.33,ft,NCLEGACY,21NC01WQ-B9160000,,Fecal Coliform,Total,830,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0011601-1973,Sample,Water,8/21/73,11:00:00,0.33,ft,NCLEGACY,21NC01WQ-B9180000,,Fecal Coliform,Total,3700,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1973-0011605-1973,Sample,Water,8/21/73,14:35:00,0.33,ft,NCLEGACY,21NC01WQ-B9360000,,Fecal Coliform,Total,600000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
