OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,ResultValueTypeName,ResultCommentText,USGSPCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900536,Sample-Routine,Water,Surface Water,7/9/79,10:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,180,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98700644,Sample-Routine,Water,Surface Water,5/12/87,15:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,180,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99002438,Sample-Routine,Water,Surface Water,5/17/90,13:00:00,EDT,99,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,BALANCES W/NUTRIENTS ADDED,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,180,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000281,Sample-Routine,Water,Surface Water,11/6/79,13:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,2000,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300223,Sample-Routine,Water,Surface Water,1/10/83,12:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,210,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500202,Sample-Routine,Water,Surface Water,1/7/85,12:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Rising stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,2100,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200145,Sample-Routine,Water,Surface Water,11/16/81,14:30:00,EST,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,220,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99003844,Sample-Routine,Water,Surface Water,9/5/90,11:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,220,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600636,Sample-Routine,Water,Surface Water,9/9/86,12:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,230,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000290,Sample-Routine,Water,Surface Water,6/23/80,13:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,250,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500206,Sample-Routine,Water,Surface Water,9/5/85,12:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,260,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99300661,Sample-Routine,Water,Surface Water,3/19/93,13:45:00,EST,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,"Stable, high stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-76 TM,Fecal Coliform,260,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000292,Sample-Routine,Water,Surface Water,7/22/80,9:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,260,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99001818,Sample-Routine,Water,Surface Water,3/27/90,13:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,BALANCES W/NUTRIENTS ADDED,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,28,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98800602,Sample-Routine,Water,Surface Water,8/3/88,13:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,28,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300228,Sample-Routine,Water,Surface Water,9/12/83,10:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,"Stable, low stage",Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,290,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900532,Sample-Routine,Water,Surface Water,5/21/79,10:55:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,310,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000279,Sample-Routine,Water,Surface Water,10/2/79,14:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,4600,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300225,Sample-Routine,Water,Surface Water,5/16/83,12:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Rising stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,470,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600456,Sample-Routine,Water,Surface Water,7/9/86,11:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,48,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400360,Sample-Routine,Water,Surface Water,3/14/84,14:35:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Rising stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,480,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400362,Sample-Routine,Water,Surface Water,7/17/84,12:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Rising stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,48000,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98800073,Sample-Routine,Water,Surface Water,12/1/87,11:25:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Rising stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,490,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400361,Sample-Routine,Water,Surface Water,5/10/84,13:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Rising stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,510,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900538,Sample-Routine,Water,Surface Water,8/1/79,15:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,520,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99000382,Sample-Routine,Water,Surface Water,11/28/89,14:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Rising stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,60,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200147,Sample-Routine,Water,Surface Water,3/1/82,10:00:00,EST,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,610,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99100616,Sample-Routine,Water,Surface Water,12/12/90,13:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,70,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200148,Sample-Routine,Water,Surface Water,5/4/82,9:45:00,EDT,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,80,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300222,Sample-Routine,Water,Surface Water,11/15/82,12:00:00,EST,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,8000,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300226,Sample-Routine,Water,Surface Water,7/14/83,12:10:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,"Stable, low stage",Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,88,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100162,Sample-Routine,Water,Surface Water,9/15/81,15:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,940,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400363,Sample-Routine,Water,Surface Water,9/5/84,14:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,"Stable, low stage",Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,96,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000296,Sample-Routine,Water,Surface Water,9/10/80,12:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,1100,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301355,Sample-Routine,Water,Surface Water,7/13/93,8:30:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,"Stable, low stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),,Weighted-bottle sampler,Fecal Coliform,12,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400359,Sample-Routine,Water,Surface Water,1/3/84,12:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Rising stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,120,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99401293,Sample-Routine,Water,Surface Water,2/18/94,13:00:00,EST,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Rising stage,Storm,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-76 TM,Fecal Coliform,120,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98700093,Sample-Routine,Water,Surface Water,11/5/86,13:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,140,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98700926,Sample-Routine,Water,Surface Water,9/1/87,11:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,160,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98800298,Sample-Routine,Water,Surface Water,3/9/88,11:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,160,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301544,Sample-Routine,Water,Surface Water,8/11/93,11:00:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),,Weighted-bottle sampler,Fecal Coliform,160,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500196,Sample-Routine,Water,Surface Water,11/7/84,12:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,180,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000283,Sample-Routine,Water,Surface Water,1/29/80,15:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,190,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98900607,Sample-Routine,Water,Surface Water,4/4/89,14:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,20,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500205,Sample-Routine,Water,Surface Water,7/10/85,13:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,2000,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99400019,Sample-Routine,Water,Surface Water,10/18/93,10:30:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),,Weighted-bottle sampler,Fecal Coliform,210,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000286,Sample-Routine,Water,Surface Water,4/21/80,9:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,210,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000282,Sample-Routine,Water,Surface Water,12/11/79,14:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,250,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000294,Sample-Routine,Water,Surface Water,8/18/80,11:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,260,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900540,Sample-Routine,Water,Surface Water,9/10/79,9:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,280,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600461,Sample-Routine,Water,Surface Water,3/11/86,14:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,290,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200149,Sample-Routine,Water,Surface Water,7/7/82,11:45:00,EDT,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,330,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100154,Sample-Routine,Water,Surface Water,1/7/81,12:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,380,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400358,Sample-Routine,Water,Surface Water,11/7/83,11:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,"Stable, low stage",Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,420,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900534,Sample-Routine,Water,Surface Water,6/13/79,12:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,4200,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000288,Sample-Routine,Water,Surface Water,5/14/80,15:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,440,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99003402,Sample-Routine,Water,Surface Water,8/8/90,11:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Rising stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,480,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900529,Sample-Routine,Water,Surface Water,3/26/79,11:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,4900,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99001129,Sample-Routine,Water,Surface Water,1/31/90,14:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,52,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98700336,Sample-Routine,Water,Surface Water,1/29/87,15:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,60,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
