OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9100000,NORTHEAST CAPE FEAR RIV AT NC 11 AT KORNEGAY,River/Stream,NORTHEAST CAPE FEAR RIV AT NC 11 AT KORNEGAY,3030007,,,,,35.053,-77.838,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9120000,GOSHEN SWAMP TRIB NR FAISON50,River/Stream,GOSHEN SWAMP TRIB NR FAISON50,3030007,,,,,35.123,-78.153,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9140000,GOSHEN SWAMP AT US 117 NR FAISON,River/Stream,GOSHEN SWAMP AT US 117 NR FAISON,3030007,,,,,35.133,-78.124,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9160000,REEDY BR AT FAISON,River/Stream,REEDY BR AT FAISON,3030007,,,,,35.117,-78.128,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9180000,GOSHEN SWAMP AT NC 403 NR FAISON,River/Stream,GOSHEN SWAMP AT NC 403 NR FAISON,3030007,,,,,35.123,-78.093,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9190000,GOSHEN SWAMP AT SR 1305 NR FRIENDSHIP,River/Stream,GOSHEN SWAMP AT SR 1305 NR FRIENDSHIP,3030007,,,,,35.089,-78.024,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9194995,LIMESTONE CRK 0.7 MI UPS 24 NR HADLEY PS 1,River/Stream,LIMESTONE CRK 0.7 MI UPS 24 NR HADLEY PS 1,3030007,,,,,34.91,-77.685,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9195000,LIMESTONE CRK AT 24 H HADLEY,River/Stream,LIMESTONE CRK AT 24 H HADLEY,3030007,,,,,34.916,-77.693,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9200000,MAXWELL CRK TRIB NR ROSE HILL,River/Stream,MAXWELL CRK TRIB NR ROSE HILL,3030007,,,,,34.863,-78.037,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9220000,CABIN BRANCH NR ROSE HILL,River/Stream,CABIN BRANCH NR ROSE HILL,3030007,,,,,34.867,-78.01,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9240000,MAXWELL CRK AT SR 1141 NR SUTTON,River/Stream,MAXWELL CRK AT SR 1141 NR SUTTON,3030007,,,,,34.867,-77.938,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9250000,STOCKING HEAD CRK AT NC 50,River/Stream,STOCKING HEAD CRK AT NC 50,3030007,,,,,34.867,-77.866,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9255000,STOCKING HEAD CRK AT SR 1953 NR HALLSVILLE,River/Stream,STOCKING HEAD CRK AT SR 1953 NR HALLSVILLE,3030007,,,,,34.874,-77.874,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9260000,MUDDY CRK TRIB AT SR 1801 NR BEULAVILLE,River/Stream,MUDDY CRK TRIB AT SR 1801 NR BEULAVILLE,3030007,,,,,34.907,-77.75,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9280000,MUDDY CRK TRIB AT SR 1804 NR BEULAVILLE,River/Stream,MUDDY CRK TRIB AT SR 1804 NR BEULAVILLE,3030007,,,,,34.888,-77.76,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9290000,NE CAPE FEAR RIV AT NC 41 INACTIVE,River/Stream,NE CAPE FEAR RIV AT NC 41 INACTIVE,3030007,,,,,34.8305,-77.8323,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9300000,REEDY BR AT SR 1932 NR ROSE HILL,River/Stream,REEDY BR AT SR 1932 NR ROSE HILL,3030007,,,,,34.831,-77.986,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9320000,REEDY BR AT SR 1102 NR ROSE HILL,River/Stream,REEDY BR AT SR 1102 NR ROSE HILL,3030007,,,,,34.823,-77.977,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9340000,ISLAND CRK TRIB AT ROSE HILL,River/Stream,ISLAND CRK TRIB AT ROSE HILL,3030007,,,,,34.814,-78.015,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9360000,ISLAND CRK TRIB NR ROSE HILL,River/Stream,ISLAND CRK TRIB NR ROSE HILL,3030007,,,,,34.812,-77.993,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9370000,ISLAND CRK AT NC 41 NR MURPHY,River/Stream,ISLAND CRK AT NC 41 NR MURPHY,3030007,,,,,34.784,-77.906,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9400000,ROCKFISH CRK NR WALLACE,River/Stream,ROCKFISH CRK NR WALLACE,3030007,,,,,34.742,-78.039,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9430000,Rockfish Crk at US 117,River/Stream,Rockfish Crk at US 117,3030007,,,,,34.7168,-77.9795,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9470000,ROCKFISH CRK AT I40 AT WALLACE,River/Stream,ROCKFISH CRK AT I40 AT WALLACE,3030007,,,,,34.7191,-77.9462,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-B9090000,NORTHEAST CAPE FEAR RIV AT NC 403 NR WILLIAMS,River/Stream,,3030007,,,,,35.17839,-77.98072,24000,,,Interpolation-Map,NAD83,0,ft,,,,Unknown,US,37,61,,,,,,,,,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-B9190500,GOSHEN SWAMP AT SR 1004 NR WESTBROOK CROSSROAD,River/Stream,,3030007,,,,,35.0535,-77.9474,24000,,,Interpolation-Map,NAD83,0,ft,,,,Unknown,US,37,61,,,,,,,,,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-B9196000,NORTHEAST CAPE FEAR RIV AT SR 1961 AT HALLSVILLE,River/Stream,,3030007,,,,,34.90589,-77.84088,24000,,,Interpolation-Map,NAD83,0,ft,,,,Unknown,US,37,61,,,,,,,,,STORET
21NC02WQ,NCDENR-DWQ (2nd),21NC02WQ-B9470000,ROCKFISH CRK AT I 40 AT WALLACE,River/Stream,,3030007,,,,,34.71913,-77.94622,24000,,,Interpolation-Map,NAD83,0,ft,,,,Unknown,US,37,61,,,,,,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-B9090000,NORTHEAST CAPE FEAR RIV AT NC 403 NR WILLIAMS,River/Stream,,3030007,,,,,35.17839,-77.98072,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-B9190500,GOSHEN SWAMP AT SR 1004 NR WESTBROOK CROSSROAD,River/Stream,,3030007,,,,,35.0535,-77.9474,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-B9196000,NORTHEAST CAPE FEAR RIV AT SR 1961 AT HALLSVILLE,River/Stream,,3030007,,,,,34.90589,-77.84088,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-B9470000,ROCKFISH CRK AT I 40 AT WALLACE,River/Stream,,3030007,,,,,34.71913,-77.94622,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-CPFCL1,LIMESTONE LAKE (CABIN LAKE),Lake,,3030007,,,,,34.99212,-77.7935,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-CPFCL2,LIMESTONE LAKE (CABIN LAKE),Lake,,3030007,,,,,34.9882,-77.79432,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-CPFCL3,LIMESTONE LAKE (CABIN LAKE),Lake,,3030007,,,,,34.98539,-77.79476,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-CPFCL4,LIMESTONE LAKE (CABIN LAKE),Lake,,3030007,,,,,34.98149,-77.79618,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NCCOALITIONS,NC DWQ Monitoring Coalition Program,21NCCOALITIONS-B9090000,Northeast Cape Fear River at NC 403 nr Williams,River/Stream,,3030007,,,,,35.1784,-77.9807,,,,GPS-Unspecified,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NCCOALITIONS,NC DWQ Monitoring Coalition Program,21NCCOALITIONS-B9130000,Panther Branch nr Faison,River/Stream,,3030007,,,,,35.1345,-78.1363,,,,GPS-Unspecified,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NCCOALITIONS,NC DWQ Monitoring Coalition Program,21NCCOALITIONS-B9191000,Goshen Swamp at NC 11 and NC 903 nr Kornegay,River/Stream,,3030007,,,,,35.02808,-77.8516,,,,GPS-Unspecified,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NCCOALITIONS,NC DWQ Monitoring Coalition Program,21NCCOALITIONS-B9191500,Northeast Cape Fear River SR 1700 nr Sarecta,River/Stream,,3030007,,,,,34.9801,-77.8622,,,,GPS-Unspecified,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NCCOALITIONS,NC DWQ Monitoring Coalition Program,21NCCOALITIONS-B9430000,Rockfish Creek at US 117 nr Wallace,River/Stream,,3030007,,,,,34.7168,-77.9795,,,,GPS-Unspecified,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NCCOALITIONS,NC DWQ Monitoring Coalition Program,21NCCOALITIONS-B9460000,Little Rockfish Creek at NC 11 nr Wallace,River/Stream,,3030007,,,,,34.7224,-77.9814,,,,GPS-Unspecified,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B9090000,Northeast Cape Fear River at NC 403 near Williams,River/Stream,,3030007,,,,,35.1784,-77.9807,,,,GPS-Unspecified,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B9130000,Panther Branch near Faison,River/Stream,,3030007,,,,,35.1345,-78.1363,,,,GPS-Unspecified,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B9191000,Goshen Swamp at NC 11 and NC 903 near Kornegay,River/Stream,,3030007,,,,,35.02808,-77.8516,,,,GPS-Unspecified,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B9191500,Northeast Cape Fear River SR 1700 near Sarecta,River/Stream,,3030007,,,,,34.9801,-77.8622,,,,GPS-Unspecified,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B9290000,NORTHEAST CAPE FEAR RIV AT NC 41,River/Stream,,3030007,,,,,34.8305,-77.83233,,,,GPS-Unspecified,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B9430000,Rockfish Creek at US 117 near Wallace,River/Stream,,3030007,,,,,34.7168,-77.9795,,,,GPS-Unspecified,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-B9460000,Little Rockfish Creek at NC 11 near Wallace,River/Stream,,3030007,,,,,34.7224,-77.9814,,,,GPS-Unspecified,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
